"//Set of 6 Gold Standards described in Torvik VI, Smalheiser NR. A quantitative model for linking two disparate sets of articles in Medline. Bioinformatics 2007; 23(13): 1658-1665. This paper has supplemental files. http://dx.doi.org/10.1093/bioinformatics/btm161",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"//target is written as -2 = negative, -1 = unknown, 0 = target, 1= fragment of target, 2 = adjective of target, 3 = target but too general to be useful",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"//some missing values annotated by 99999 (MeSH), 0.9999 (cohesion), or 9999 (year)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrowsmith search,A-lit size,C-lit size,B-term,target,nA,nC,nof MeSH in common,nof semantic categories,cohesion score,n in MEDLINE,1st year in MEDLINE,pAC,on medium stoplist?,on long stoplist?,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,2d,-1,5,2,0,0,0.0790586,3270,1950,0.007681619,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,a patient tuberous,-1,1,1,1,2,0.210784,73,1953,0.001180352,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,abnormal,-1,1,3,0,1,0.0496597,20701,1934,0.999528157,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,abnormality,-1,5,8,1,1,0.0746496,28616,1946,0.94819821,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,abscess,-1,4,14,4,1,0.220078,18690,1938,0.091120506,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,abscess report,-1,1,1,1,3,0.238472,199,1949,0.008290477,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,absence,-1,2,2,0,1,0.0539861,20074,1937,0.999337731,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,absolute,-1,2,2,0,1,0.0892207,4033,1949,0.292253047,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,absorbable,-1,7,1,99999,2,0.22795,1161,1949,1.79E-06,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,absorbable gelatin,-1,1,1,99999,4,0.213333,37,1951,0.000308177,0,0,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,accident,3,8,2,1,1,0.181835,17916,1940,0.76810412,1,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,accidental,-1,2,1,0,1,0.112148,4756,1949,0.623823586,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,accompanied,-1,4,5,0,0,0.0539529,2766,1939,0.000146282,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,accompanying,-1,4,7,0,0,0.0474269,2419,1949,1.27E-06,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,according,-1,10,1,1,0,0.0643436,12125,1925,0.204845593,0,1,,,,,,,,,,,,,,
retinal detachment vs aortic aneurysm,5122,5687,ace,-1,1,2,0,5,0.211762,3197,1950,0.367375279,0,0,,,,,,,,,,,,,,
